addr	serial	name	sido_	gu	sido
전라남도 여수시 남면 연도길 297	S140001450	여남초등학교연도분교장	전라남도	여수시	전남
전라북도 군산시 옥도면 야미도3길 12	S130000617	신시도초등학교야미도분교장	전라북도	군산시	전북
전라남도 구례군 토지면 남산길 18	S140003682	토지초등학교연곡분교장	전라남도	구례군	전남
제주특별자치도 제주시 추자면 추자로 553-10	S170000229	추자초등학교신양분교장	제주특별자치도	제주시	제주
경상남도 합천군 덕곡면 오광대로 711	S160002972	초계초등학교덕곡분교장	경상남도	합천군	경남
경기도 평택시 포승읍 신영새싹길 86-29	S090004018	내기초등학교신영분교장	경기도	평택시	경기
경상남도 사천시 신수서길 1-46	S160001638	삼천포초등학교신수도분교장	경상남도	사천시	경남
경상남도 통영시 산양읍 곤리길 96	S160002516	산양초등학교곤리분교장	경상남도	통영시	경남
경상북도 영천시 자양면 별빛로 1183	S150002817	자천초등학교보현분교장	경상북도	영천시	경북
전라남도 목포시 달리길157번길 35	S140003509	목포유달초등학교달리분교장	전라남도	목포시	전남
전라북도 군산시 옥도면 개야도길 189-10	S130000570	개야도초등학교	전라북도	군산시	전북
전라남도 여수시 화정면 월호큰길 54	S140004144	돌산초등학교월호분교장	전라남도	여수시	전남
전라남도 여수시 율촌면 상봉1길 7	S140003678	율촌초등학교상봉분교장	전라남도	여수시	전남
전라남도 신안군 흑산면 김이수길 29-2	S140003479	흑산초등학교흑산동분교장	전라남도	신안군	전남
전라남도 여수시 남면 대두길 87	S140003461	돌산초등학교두라분교장	전라남도	여수시	전남
경상북도 울진군 기성면 구산길 43	S150003044	기성초등학교구산분교장	경상북도	울진군	경북
충청북도 단양군 가곡면 보발본동1길 17	S110000360	가곡초등학교보발분교장	충청북도	단양군	충북
충청남도 당진시 석문면 난지1길 155	S120000898	삼봉초등학교난지분교장	충청남도	당진시	충남
전라남도 진도군 조도면 가사도길 88-22	S140003492	진도서초등학교가사도분교장	전라남도	진도군	전남
충청남도 서산시 팔봉면 고파도3길 60	S120000994	팔봉초등학교고파도분교장	충청남도	서산시	충남
강원도 영월군 영월읍 영월로 2986-5	S100001226	영월초등학교연하분교장	강원도	영월군	강원
전라남도 완도군 청산면 대모도12번길 20-1	S140003955	청산초등학교모도분교장	전라남도	완도군	전남
강원도 인제군 인제읍 신덕길 63	S100001510	원통초등학교신덕분교장	강원도	인제군	강원
경상북도 봉화군 소천면 임기로 29	S150001969	소천초등학교임기분교장	경상북도	봉화군	경북
경상북도 울릉군 북면 현포1길 38	S150003009	천부초등학교현포분교장	경상북도	울릉군	경북
전라남도 신안군 흑산면 홍도1길 53	S140003946	흑산초등학교홍도분교장	전라남도	신안군	전남
전라남도 진도군 조도면 대마도길 26	S140003951	조도초등학교대마분교장	전라남도	진도군	전남
경상북도 울진군 북면 두천길 299	S150003061	부구초등학교삼당분교장	경상북도	울진군	경북
충청남도 보령시 오천면 삽시도1길 159-34	S120001089	오천초등학교삽시분교장	충청남도	보령시	충남
전라남도 고흥군 도양읍 시산석금길 30	S140003468	녹동초등학교시산분교장	전라남도	고흥군	전남
충청남도 태안군 근흥면 신진도길 44-23	S120001172	안흥초등학교신진도분교장	충청남도	태안군	충남
경상북도 상주시 화북면 중벌1길 1	S150002127	화북초등학교용화분교장	경상북도	상주시	경북
강원도 양양군 서면 설악로 1173	S100001025	상평초등학교오색분교장	강원도	양양군	강원
경기도 가평군 북면 가화로 2680	S090000892	목동초등학교명지분교장	경기도	가평군	경기
경상북도 문경시 산북면 창구길 9	S150001823	산북초등학교창구분교장	경상북도	문경시	경북
경상북도 포항시 남구 장기면 모포길 59	S150003621	장기초등학교모포분교장	경상북도	포항시	경북
충청남도 태안군 소원면 송의로 691	S120001154	소원초등학교의항분교장	충청남도	태안군	충남
강원도 홍천군 북방면 성동로 1144-5	S100003468	화계초등학교대룡분교장	강원도	홍천군	강원
전라남도 영광군 염산면 칠산로5길 124	S140001668	염산초등학교낙월분교장	전라남도	영광군	전남
경상남도 통영시 욕지면 십리골길 40	S160002549	원량초등학교연화분교장	경상남도	통영시	경남
경상북도 군위군 고로면 삼국유사로 1314	S150001596	의흥초등학교석산분교장	경상북도	군위군	경북
강원도 고성군 간성읍 흘리령길 3-15	S100000750	광산초등학교흘리분교장	강원도	고성군	강원
전라북도 군산시 옥도면 선유북길 89-1	S130000612	선유도초등학교	전라북도	군산시	전북
강원도 인제군 기린면 설피밭길 432	S100001541	기린초등학교진동분교장	강원도	인제군	강원
전라북도 군산시 대야면 번영로 1421	S130000602	대야초등학교광산분교장	전라북도	군산시	전북
인천광역시 중구 대무의로 302-17	S040001467	인천용유초등학교무의분교장	인천광역시	중구	인천
강원도 정선군 신동읍 운치길 51	S100001665	예미초등학교운치분교장	강원도	정선군	강원
경상북도 영덕군 축산면 경정길 17	S150002544	축산항초등학교경정분교장	경상북도	영덕군	경북
인천광역시 강화군 서도면 주문도길 173	S040000355	서도초등학교	인천광역시	강화군	인천
경상북도 안동시 예안면 농암로 2384	S150002373	월곡초등학교삼계분교장	경상북도	안동시	경북
경상남도 함안군 칠북면 온천로 63	S160002800	칠서초등학교이령분교장	경상남도	함안군	경남
전라북도 군산시 옥도면 신시도2길 18-5	S130000616	신시도초등학교	전라북도	군산시	전북
강원도 삼척시 근덕면 궁촌길 66	S100000852	근덕초등학교궁촌분교장	강원도	삼척시	강원
강원도 삼척시 도계읍 소달길 54-30	S100000902	도계초등학교소달분교장	강원도	삼척시	강원
충청남도 보령시 오천면 호도길 81	S120001120	청파초등학교호도분교장	충청남도	보령시	충남
전라남도 순천시 황전면 삽재팔동길 377	S140003720	황전초등학교회덕분교장	전라남도	순천시	전남
강원도 인제군 서화면 금강로 1801-42	S100001506	서화초등학교서성분교장	강원도	인제군	강원
전라남도 완도군 노화읍 서넙도길 68	S140003962	넙도초등학교서리분교장	전라남도	완도군	전남
전라남도 진도군 의신면 모도길 12-3	S140003262	의신초등학교모도분교장	전라남도	진도군	전남
제주특별자치도 서귀포시 대정읍 가파로67번길 45	S170000294	가파초등학교	제주특별자치도	서귀포시	제주
경상북도 포항시 북구 죽장면 죽장로 1815	S150003635	죽장초등학교상옥분교장	경상북도	포항시	경북
전라남도 순천시 승주읍 선암사길 280	S140003719	승주초등학교죽학분교장	전라남도	순천시	전남
충청남도 보령시 오천면 외연도1길 134	S120001099	외연도초등학교	충청남도	보령시	충남
경상남도 고성군 영현면 대가로 1675-20	S160001084	영현초등학교	경상남도	고성군	경남
인천광역시 옹진군 자월면 자월서로 177	S040001466	인천용현남초등학교자월분교장	인천광역시	옹진군	인천
경기도 화성시 장안면 온수골2길 18	S090004334	장명초등학교장일분교장	경기도	화성시	경기
경상북도 의성군 신평면 봉호로 2436	S150003211	안평초등학교신평분교장	경상북도	의성군	경북
강원도 정선군 정선읍 수미길 7	S100001685	정선초등학교가수분교장	강원도	정선군	강원
충청남도 부여군 남면 마정로 7-9	S120000531	마정초등학교	충청남도	부여군	충남
강원도 고성군 현내면 금강산로 840	S100000736	대진초등학교명파분교장	강원도	고성군	강원
전라북도 부안군 계화면 계화로 475	S130000935	계화초등학교	전라북도	부안군	전북
강원도 정선군 남면 광락로 22	S100001609	남선초등학교남창분교장	강원도	정선군	강원
충청북도 충주시 신니면 신덕로 301	S110002320	용원초등학교동락분교장	충청북도	충주시	충북
경상북도 안동시 길안면 송사시장길 104	S150002305	길안초등학교길송분교장	경상북도	안동시	경북
충청남도 보령시 오천면 장고도2길 18	S120001115	청룡초등학교장고분교장	충청남도	보령시	충남
강원도 양양군 서면 구룡령로 2125	S100001044	상평초등학교현서분교장	강원도	양양군	강원
충청북도 단양군 영춘면 별방창원로 449	S110002321	영춘초등학교별방분교장	충청북도	단양군	충북
경상북도 김천시 증산면 증산1로 29	S150001724	증산초등학교	경상북도	김천시	경북
경상북도 봉화군 소천면 두음길 567	S150001967	소천초등학교두음분교장	경상북도	봉화군	경북
경상북도 의성군 구천면 소보안계로 1616	S150003163	구천초등학교	경상북도	의성군	경북
경상북도 안동시 녹전면 원당안길 12	S150006027	녹전초등학교원천분교장	경상북도	안동시	경북
경상북도 군위군 우보면 이화길 95	S150001604	우보초등학교	경상북도	군위군	경북
전라남도 여수시 소라면 사곡로 27	S140003675	소라초등학교사곡분교장	전라남도	여수시	전남
경상남도 의령군 궁류면 궁류로5길 14	S160001859	궁류초등학교	경상남도	의령군	경남
경상북도 경주시 산내면 거산제궁길 16	S150001226	의곡초등학교일부분교장	경상북도	경주시	경북
전라남도 진도군 의신면 황모길 25-1	S140003256	의신초등학교접도분교장	전라남도	진도군	전남
전라남도 보성군 회천면 시장길 12	S140001052	회천서초등학교	전라남도	보성군	전남
전라북도 임실군 운암면 상운길 12	S130001323	운암초등학교	전라북도	임실군	전북
충청북도 옥천군 군북면 방아실길 3-2	S110000599	증약초등학교대정분교장	충청북도	옥천군	충북
전라남도 진도군 조도면 서거차도1길 116	S140003490	조도초등학교거차분교장	전라남도	진도군	전남
충청북도 청원군 미원면 운암계원로 601	S110000849	미원초등학교금관분교장	충청북도	청주시	충북
강원도 양양군 서면 구룡령로 2855	S100001004	상평초등학교공수전분교장	강원도	양양군	강원
경상북도 상주시 화북면 문장로 2645	S150002128	화북초등학교입석분교장	경상북도	상주시	경북
강원도 횡성군 안흥면 덕송로 23	S100002435	안흥초등학교덕천분교장	강원도	횡성군	강원
경상북도 성주군 초전면 용소길 60	S150002224	초전초등학교봉소분교장	경상북도	성주군	경북
경상북도 영양군 청기면 장갈로 1445	S150002613	일월초등학교청기분교장	경상북도	영양군	경북
인천광역시 옹진군 자월면 대이작로 60	S040001386	인천남부초등학교이작분교장	인천광역시	옹진군	인천
강원도 철원군 김화읍 도창2길 7-2	S100001746	도창초등학교	강원도	철원군	강원
전라북도 김제시 금산면 송율길 239-8	S130000703	금남초등학교	전라북도	김제시	전북
강원도 춘천시 남산면 서백길 152	S100001865	남산초등학교서천분교장	강원도	춘천시	강원
강원도 춘천시 북산면 북산로 34	S100001894	추곡초등학교	강원도	춘천시	강원
전라남도 무안군 일로읍 청포로 421	S140003272	일로초등학교청망분교장	전라남도	무안군	전남
전라남도 여수시 화정면 백야3길 8-21	S140003455	안일초등학교백야분교장	전라남도	여수시	전남
경상북도 김천시 봉산면 봉산1로 43	S150001732	봉계초등학교태화분교장	경상북도	김천시	경북
강원도 홍천군 서면 설밀길 76	S100002196	모곡초등학교	강원도	홍천군	강원
전라남도 신안군 흑산면 가거도길 18-31	S140001241	가거도초등학교	전라남도	신안군	전남
강원도 화천군 상서면 봉오새싹길 31	S100002351	봉오초등학교	강원도	화천군	강원
인천광역시 계양구 벌말로 572-1	S040001385	인천계양초등학교상야분교장	인천광역시	계양구	인천
전라북도 무주군 부남면 대소길 10	S130000900	부남초등학교	전라북도	무주군	전북
경상북도 울진군 금강송면 남회룡로 1464-8	S150003069	삼근초등학교옥방분교장	경상북도	울진군	경북
강원도 횡성군 서원면 경강로 711	S100002476	유현초등학교	강원도	횡성군	강원
경상남도 창원시 의창구 북면 구룡로312번길 7	S160002395	북면초등학교승산분교장	경상남도	창원시	경남
강원도 강릉시 옥계면 금진안길 2	S100000576	옥계초등학교금진분교장	강원도	강릉시	강원
경상남도 거제시 동부면 율포4길 1	S160000795	동부초등학교율포분교장	경상남도	거제시	경남
경상북도 의성군 단밀면 중동단밀로 939	S150003196	단밀초등학교	경상북도	의성군	경북
전라북도 김제시 금산면 수류로 587	S130000731	화율초등학교	전라북도	김제시	전북
충청남도 금산군 금성면 어필각로 448	S120000378	금성초등학교금계분교장	충청남도	금산군	충남
충청남도 서산시 부석면 간월달발길 57	S120000962	부석초등학교간월도분교장	충청남도	서산시	충남
전라북도 진안군 용담면 안용로 1005	S130001727	송풍초등학교	전라북도	진안군	전북
경상남도 하동군 양보면 진양로 778	S160002684	양보초등학교	경상남도	하동군	경남
경상북도 울진군 금강송면 삼근2길 23	S150003065	삼근초등학교	경상북도	울진군	경북
경상북도 안동시 도산면 온혜중마길 6	S150002357	온혜초등학교	경상북도	안동시	경북
전라북도 김제시 공덕면 유강4길 94	S130000743	황강초등학교	전라북도	김제시	전북
전라북도 순창군 적성면 적성로 149-7	S130001026	적성초등학교	전라북도	순창군	전북
경상남도 하동군 화개면 화개로 967	S160002715	화개초등학교왕성분교장	경상남도	하동군	경남
강원도 횡성군 청일면 청정로 795	S100002483	청일초등학교	강원도	횡성군	강원
전라북도 군산시 옥도면 무녀도2길 33	S130000604	무녀도초등학교	전라북도	군산시	전북
대전광역시 서구 당고개길 48	S060000494	기성초등학교길헌분교장	대전광역시	서구	대전
충청북도 보은군 삼승면 남부로 3927	S110002322	판동초등학교송죽분교장	충청북도	보은군	충북
경상북도 봉화군 소천면 소천로 1284	S150001964	소천초등학교	경상북도	봉화군	경북
경상남도 통영시 사량면 상도일주로 1584	S160002509	사량초등학교	경상남도	통영시	경남
전라북도 김제시 진봉면 지평선로 1295	S130000726	심창초등학교	전라북도	김제시	전북
경상북도 봉화군 상운면 예봉로 1231	S150001955	상운초등학교	경상북도	봉화군	경북
전라남도 해남군 현산면 입제길 40	S140002197	현산남초등학교	전라남도	해남군	전남
전라북도 임실군 덕치면 인덕로 1217	S130001314	덕치초등학교	전라북도	임실군	전북
경상북도 울진군 기성면 해월헌길 19	S150003063	기성초등학교사동분교장	경상북도	울진군	경북
경상남도 의령군 낙서면 낙동강로 773-6	S160001861	낙서초등학교	경상남도	의령군	경남
강원도 삼척시 신기면 강원남부로 2997	S100000908	신동초등학교	강원도	삼척시	강원
경상남도 양산시 원동면 배내로 431-1	S160001817	원동초등학교이천분교장	경상남도	양산시	경남
강원도 홍천군 내면 방내로 12	S100002245	율전초등학교	강원도	홍천군	강원
강원도 삼척시 가곡면 가곡천로 1430	S100000919	오저초등학교	강원도	삼척시	강원
경상북도 의성군 춘산면 금성현서로 1487	S150003238	춘산초등학교	경상북도	의성군	경북
충청남도 청양군 장평면 낙지미당로 543-53	S120000838	미당초등학교	충청남도	청양군	충남
경상북도 울진군 평해읍 월송길 59	S150003091	월송초등학교	경상북도	울진군	경북
경상남도 의령군 유곡면 마장로 6-3	S160001888	유곡초등학교	경상남도	의령군	경남
경상남도 합천군 묘산면 묘산로 149	S160002976	묘산초등학교	경상남도	합천군	경남
강원도 화천군 간동면 동림길 47	S100002363	오음초등학교	강원도	화천군	강원
경상북도 상주시 은척면 봉중2길 10	S150002100	은척초등학교	경상북도	상주시	경북
전라북도 무주군 부남면 부남로 1785	S130000901	부당초등학교	전라북도	무주군	전북
경상남도 합천군 쌍책면 성산큰길 47	S160002992	쌍책초등학교	경상남도	합천군	경남
충청남도 태안군 이원면 원이로 1956	S120001180	이원초등학교관동분교장	충청남도	태안군	충남
강원도 춘천시 서면 당숲안길 81	S100001835	당림초등학교	강원도	춘천시	강원
전라북도 부안군 동진면 제전길 63	S130000941	동북초등학교	전라북도	부안군	전북
강원도 강릉시 주문진읍 신리천로 410-8	S100003354	주문진초등학교삼덕분교장	강원도	강릉시	강원
전라북도 부안군 하서면 변산로 1203	S130000946	백련초등학교	전라북도	부안군	전북
경상북도 문경시 농암면 중리길 1-5	S150001803	농암초등학교청화분교장	경상북도	문경시	경북
전라남도 고흥군 도양읍 소록선창길 89-66	S140003684	녹동초등학교소록도분교장	전라남도	고흥군	전남
경상남도 창녕군 이방면 이방대합로 285	S160002302	장천초등학교	경상남도	창녕군	경남
인천광역시 옹진군 북도면 장봉로 553	S040001633	인천삼목초등학교장봉분교장	인천광역시	옹진군	인천
인천광역시 옹진군 북도면 신도로896번길 18-31	S040001664	인천공항초등학교신도분교장	인천광역시	옹진군	인천
강원도 양양군 현북면 어성전길 114	S100001047	현성초등학교	강원도	양양군	강원
