id	name	addr	x	y	type
S000003511	서울교육대학교부설초등학교	서울특별시 서초구 서초중앙로 96	127.0168607	37.4903779	유지
S000003563	서울대학교사범대학부설초등학교	서울특별시 종로구 대학로 64	127.0037561	37.5779006	유지
S010000738	서울개일초등학교	서울특별시 강남구 개포로 401	127.0577545	37.4861944	유지
S010000741	서울구룡초등학교	서울특별시 강남구 개포로 263	127.0516542	37.4811231	유지
S010000742	서울논현초등학교	서울특별시 강남구 강남대로120길 33	127.0263309	37.5084606	유지
S010000743	서울대곡초등학교	서울특별시 강남구 남부순환로 3022	127.0648526	37.4946298	유지
S010000744	서울대도초등학교	서울특별시 강남구 선릉로 209	127.0533831	37.4929987	유지
S010000745	서울대모초등학교	서울특별시 강남구 광평로20길 27	127.0862508	37.481407	유지
S010000746	서울대왕초등학교	서울특별시 강남구 헌릉로618길 8	127.1056833	37.4646127	유지
S010000747	서울대진초등학교	서울특별시 강남구 개포로109길 74	127.0780359	37.4971217	유지
S010000748	서울대청초등학교	서울특별시 강남구 양재대로55길 28	127.0877004	37.4930888	유지
S010000749	서울대치초등학교	서울특별시 강남구 양재천로 363	127.0619473	37.491285	유지
S010000750	서울대현초등학교	서울특별시 강남구 역삼로98길 16	127.0636774	37.5038952	유지
S010000751	서울도곡초등학교	서울특별시 강남구 선릉로64길 33	127.0544678	37.4994952	유지
S010000752	서울도성초등학교	서울특별시 강남구 역삼로 313	127.049	37.5012417	유지
S010000753	서울반원초등학교	서울특별시 서초구 잠원로3길 28	127.0039008	37.5101781	유지
S010000755	서울방배초등학교	서울특별시 서초구 방배중앙로13길 26	126.9878102	37.4872211	유지
S010000756	서울방일초등학교	서울특별시 서초구 방배로18길 52	126.9984093	37.4853966	유지
S010000757	서울방현초등학교	서울특별시 서초구 효령로4길 58	126.9903103	37.4762894	유지
S010000758	서울봉은초등학교	서울특별시 강남구 학동로 610	127.0610991	37.5202353	유지
S010000759	서울삼릉초등학교	서울특별시 강남구 봉은사로63길 22	127.0471981	37.5131959	유지
S010000760	서울서래초등학교	서울특별시 서초구 방배로 260	126.9892544	37.4963099	유지
S010000761	서울서원초등학교	서울특별시 서초구 고무래로 63	127.0151708	37.502969	유지
S010000762	서울서이초등학교	서울특별시 서초구 서운로 35	127.0257949	37.491483	유지
S010000763	서울서일초등학교	서울특별시 서초구 남부순환로339길 38	127.0222882	37.4851328	유지
S010000764	서울서초초등학교	서울특별시 서초구 서운로 178	127.0237792	37.4994731	유지
S010000765	서울수서초등학교	서울특별시 강남구 광평로51길 46	127.1012554	37.4912047	유지
S010000766	서울신구초등학교	서울특별시 강남구 압구정로18길 28	127.024075	37.5234333	유지
S010000767	서울신동초등학교	서울특별시 서초구 나루터로 15	127.0113821	37.5171175	유지
S010000768	서울신중초등학교	서울특별시 서초구 남부순환로317길 15	127.0093384	37.4801298	유지
S010000769	서울압구정초등학교	서울특별시 강남구 압구정로39길 29	127.0308923	37.5317491	유지
S010000770	서울양재초등학교	서울특별시 서초구 바우뫼로18길 14	127.0318938	37.4741737	유지
S010000771	서울양전초등학교	서울특별시 강남구 개포로 513	127.0695022	37.4904055	유지
S010000772	서울언남초등학교	서울특별시 서초구 헌릉로8길 42	127.0616929	37.4539908	유지
S010000773	서울언북초등학교	서울특별시 강남구 삼성로135길 42	127.04514	37.5198294	유지
S010000774	서울언주초등학교	서울특별시 강남구 남부순환로363길 19	127.0367863	37.486806	유지
S010000775	서울역삼초등학교	서울특별시 강남구 강남대로66길 21	127.0326027	37.4931734	유지
S010000776	서울영희초등학교	서울특별시 강남구 일원로 21	127.0809885	37.4922305	유지
S010000777	서울왕북초등학교	서울특별시 강남구 광평로31길 74	127.0861007	37.4864563	유지
S010000778	서울우암초등학교	서울특별시 서초구 바우뫼로7길 38	127.0242821	37.4720905	유지
S010000779	서울원명초등학교	서울특별시 서초구 고무래로 90-6	127.0166443	37.5009024	유지
S010000780	서울원촌초등학교	서울특별시 서초구 사평대로45길 26	127.0126922	37.5064513	유지
S010000781	서울이수초등학교	서울특별시 서초구 방배천로4길 23	126.9845093	37.478446	유지
S010000782	서울일원초등학교	서울특별시 강남구 영동대로4길 20	127.0761891	37.489789	유지
S010000783	서울잠원초등학교	서울특별시 서초구 신반포로16길 15-25	126.9981463	37.501986	유지
S010000784	서울청담초등학교	서울특별시 강남구 압구정로71길 9	127.0452305	37.5282461	유지
S010000785	서울포이초등학교	서울특별시 강남구 개포로22길 87	127.0527917	37.4760322	유지
S010000786	서울학동초등학교	서울특별시 강남구 선릉로115길 42	127.0396	37.512525	유지
S010000897	서울가동초등학교	서울특별시 송파구 중대로20길 47	127.1300538	37.4974777	유지
S010000898	서울가락초등학교	서울특별시 송파구 송파대로37길 45	127.1076723	37.5001905	유지
S010000899	서울가원초등학교	서울특별시 송파구 중대로4길 8	127.1112916	37.4894103	유지
S010000900	서울가주초등학교	서울특별시 송파구 오금로40길 37	127.1292345	37.4967037	유지
S010000901	서울강덕초등학교	서울특별시 강동구 동남로82길 94-54	127.1607664	37.5592893	유지
S010000902	서울강동초등학교	서울특별시 강동구 상암로14길 77	127.1301425	37.5462916	유지
S010000903	서울강일초등학교	서울특별시 강동구 아리수로98길 24	127.1772256	37.5654092	유지
S010000904	서울거여초등학교	서울특별시 송파구 마천로25길 18	127.1409303	37.5048499	유지
S010000905	서울거원초등학교	서울특별시 송파구 양산로2길 26	127.1447948	37.4876378	유지
S010000906	서울고덕초등학교	서울특별시 강동구 아리수로82길 42	127.1665033	37.5611225	유지
S010000907	서울고명초등학교	서울특별시 강동구 고덕로46길 53	127.1468429	37.5530316	유지
S010000908	서울고일초등학교	서울특별시 강동구 구천면로93길 20	127.1688621	37.5525889	유지
S010000909	서울길동초등학교	서울특별시 강동구 양재대로116길 69	127.1447875	37.5385167	유지
S010000910	서울남천초등학교	서울특별시 송파구 성내천로 207	127.1504357	37.5010354	유지
S010000911	서울대명초등학교	서울특별시 강동구 상암로 271	127.15278	37.5471992	유지
S010000913	서울마천초등학교	서울특별시 송파구 마천로61다길 24	127.1519372	37.4955406	유지
S010000914	서울명덕초등학교	서울특별시 강동구 양재대로156길 11	127.146625	37.5569333	유지
S010000915	서울명원초등학교	서울특별시 강동구 명일로 364	127.1505051	37.5512819	유지
S010000916	서울명일초등학교	서울특별시 강동구 고덕로38길 8	127.1420808	37.554423	유지
S010000917	서울묘곡초등학교	서울특별시 강동구 동남로79길 46	127.1532421	37.558581	유지
S010000918	서울문덕초등학교	서울특별시 송파구 송이로34길 60	127.1279441	37.485039	유지
S010000919	서울문정초등학교	서울특별시 송파구 문정로5길 20	127.1290293	37.4892063	유지
S010000920	서울방산초등학교	서울특별시 송파구 오금로27길 42	127.1208725	37.5097182	유지
S010000921	서울방이초등학교	서울특별시 송파구 위례성대로10길 4	127.1204937	37.5134365	유지
S010000922	서울삼전초등학교	서울특별시 송파구 백제고분로28길 19	127.0928519	37.5016902	유지
S010000923	서울상일초등학교	서울특별시 강동구 천호대로 1477	127.1722156	37.5472412	유지
S010000924	서울석촌초등학교	서울특별시 송파구 가락로11길 26	127.1045735	37.5029128	유지
S010000925	서울선린초등학교	서울특별시 강동구 진황도로61길 29	127.1458312	37.5296015	유지
S010000926	서울선사초등학교	서울특별시 강동구 올림픽로 837	127.1286875	37.5562081	유지
S010000927	서울성내초등학교	서울특별시 강동구 성내로3길 19	127.1224709	37.5313675	유지
S010000928	서울성일초등학교	서울특별시 강동구 성내로15길 33	127.128504	37.5295144	유지
S010000929	서울세륜초등학교	서울특별시 송파구 양재대로 1264	127.1343298	37.5187257	유지
S010000930	서울송전초등학교	서울특별시 송파구 석촌호수로 159	127.0949135	37.5086351	유지
S010000931	서울송파초등학교	서울특별시 송파구 백제고분로 400	127.1112341	37.5072895	유지
S010000932	서울신가초등학교	서울특별시 송파구 송이로 75	127.119767	37.5003511	유지
S010000933	서울신명초등학교	서울특별시 강동구 명일로24길 33	127.149968	37.5409667	유지
S010000934	서울신암초등학교	서울특별시 강동구 올림픽로93길 33-16	127.124525	37.5498221	유지
S010000935	서울신천초등학교	서울특별시 송파구 올림픽로 215	127.0952269	37.5140355	유지
S010000936	서울아주초등학교	서울특별시 송파구 올림픽로4길 59	127.0756361	37.5058803	유지
S010000937	서울영풍초등학교	서울특별시 송파구 오금로57길 15	127.1431774	37.4962098	유지
S010000938	서울오금초등학교	서울특별시 송파구 위례성대로22길 11	127.131505	37.5094918	유지
S010000939	서울오륜초등학교	서울특별시 송파구 양재대로 1196	127.1345034	37.51247	유지
S010000941	서울잠동초등학교	서울특별시 송파구 올림픽로35길 122	127.0999633	37.5183492	유지
S010000942	서울잠신초등학교	서울특별시 송파구 잠실로 32	127.0879453	37.5141005	유지
S010000943	서울잠실초등학교	서울특별시 송파구 올림픽로35길 20	127.1111882	37.5202956	유지
S010000944	서울잠일초등학교	서울특별시 송파구 올림픽로 95	127.0816089	37.5150471	유지
S010000945	서울잠전초등학교	서울특별시 송파구 올림픽로12길 51	127.0843746	37.5071077	유지
S010000946	서울중대초등학교	서울특별시 송파구 송파대로36길 8	127.1136135	37.4997693	유지
S010000947	서울천동초등학교	서울특별시 강동구 성안로 200	127.1376317	37.5407831	유지
S010000948	서울천일초등학교	서울특별시 강동구 구천면로 266	127.133282	37.5442576	유지
S010000949	서울천호초등학교	서울특별시 강동구 구천면로 310-11	127.1365218	37.547332	유지
S010000950	서울토성초등학교	서울특별시 송파구 풍성로20길 44	127.1158869	37.5320341	유지
S010000951	서울평화초등학교	서울특별시 송파구 송파대로26길 22	127.1226859	37.49167	유지
S010000952	서울풍납초등학교	서울특별시 송파구 풍성로 43	127.1179413	37.535245	유지
S010000953	서울풍성초등학교	서울특별시 송파구 강동대로2길 13	127.1134877	37.5263035	유지
S010000954	서울한산초등학교	서울특별시 강동구 풍성로 261	127.141475	37.5284667	유지
S010001004	서울가곡초등학교	서울특별시 강서구 공항대로36길 74	126.8359343	37.55565	유지
S010001005	서울가양초등학교	서울 강서구 허준로 186	126.8587584	37.5620871	유지
S010001006	서울갈산초등학교	서울특별시 양천구 목동로 31	126.8698245	37.5119517	유지
S010001007	서울강서초등학교	서울특별시 양천구 오목로 31	126.840961	37.5224553	유지
S010001008	서울강신초등학교	서울특별시 양천구 월정로 280	126.8292741	37.543019	유지
S010001009	서울강월초등학교	서울특별시 양천구 신월로 97	126.8339484	37.5164142	유지
S010001010	서울개화초등학교	서울특별시 강서구 양천로 11	126.8046012	37.573967	유지
S010001011	서울경인초등학교	서울특별시 양천구 안양천로 1009	126.8864688	37.5330714	유지
S010001012	서울계남초등학교	서울특별시 양천구 목동동로2길 54	126.860025	37.5103833	유지
S010001013	서울공진초등학교	서울특별시 강서구 마곡서로 33	126.8226819	37.5578005	유지
S010001014	서울공항초등학교	서울특별시 강서구 마곡서1로 68	126.8215702	37.5632145	유지
S010001015	서울남명초등학교	서울특별시 양천구 중앙로23길 3	126.85366	37.5154982	유지
S010001016	서울내발산초등학교	서울특별시 강서구 강서로46길 23	126.8379293	37.5516265	유지
S010001017	서울등명초등학교	서울특별시 강서구 강서로56나길 34	126.8424701	37.5608814	유지
S010001018	서울등서초등학교	서울특별시 강서구 화곡로58길 86	126.8550739	37.5519015	유지
S010001019	서울등양초등학교	서울특별시 강서구 강서로56나길 140	126.8447572	37.5650839	유지
S010001020	서울등원초등학교	서울특별시 강서구 화곡로65길 90	126.8498101	37.5609135	유지
S010001021	서울등촌초등학교	서울특별시 강서구 등촌로39길 71	126.8578127	37.5476372	유지
S010001022	서울등현초등학교	서울특별시 강서구 화곡로65길 124	126.8476606	37.5614371	유지
S010001023	서울목동초등학교	서울특별시 양천구 목동동로12길 12	126.872233	37.5227725	유지
S010001024	서울목원초등학교	서울특별시 양천구 목동중앙로 204	126.8825314	37.5430283	유지
S010001025	서울발산초등학교	서울특별시 강서구 강서로45길 113	126.831007	37.5502937	유지
S010001026	서울방화초등학교	서울특별시 강서구 양천로6길 92	126.8068568	37.5688772	유지
S010001027	서울백석초등학교	서울특별시 강서구 공항대로 491	126.8621992	37.5535392	유지
S010001028	서울삼정초등학교	서울특별시 강서구 금낭화로 222	126.8105583	37.5805903	유지
S010001029	서울서정초등학교	서울특별시 양천구 목동로8길 19	126.8670585	37.5242192	유지
S010001030	서울송정초등학교	서울특별시 강서구 공항대로3길 18	126.8110921	37.5627394	유지
S010001031	서울송화초등학교	서울특별시 강서구 방화대로34길 2	126.8175165	37.5687746	유지
S010001032	서울신강초등학교	서울특별시 양천구 중앙로55길 72	126.8417446	37.5262026	유지
S010001033	서울신곡초등학교	서울특별시 강서구 등촌로13자길 42-14	126.8557448	37.538932	유지
S010001035	서울신목초등학교	서울특별시 양천구 신목로5길 11-6	126.8725581	37.5170816	유지
S010001036	서울신서초등학교	서울특별시 양천구 목동서로10길 35	126.8623965	37.5205227	유지
S010001037	서울신원초등학교	서울특별시 양천구 남부순환로58길 32	126.8298797	37.5294918	유지
S010001038	서울신월초등학교	서울특별시 강서구 강서로31길 48	126.8392687	37.5405164	유지
S010001039	서울신정초등학교	서울특별시 강서구 곰달래로31가길 27	126.852648	37.5331217	유지
S010001040	서울양강초등학교	서울특별시 양천구 오목로 101	126.8481291	37.5244382	유지
S010001041	서울양동초등학교	서울특별시 양천구 오목로23길 24	126.8514208	37.5259719	유지
S010001042	서울양명초등학교	서울특별시 양천구 중앙로 204	126.8565097	37.5160898	유지
S010001043	서울양목초등학교	서울특별시 양천구 목동로11길 30	126.861659	37.5236306	유지
S010001044	서울양원초등학교	서울특별시 양천구 화곡로 16	126.8235121	37.5383629	유지
S010001045	서울양천초등학교	서울특별시 강서구 양천로 329	126.8394166	37.570272	유지
S010001046	서울양화초등학교	서울특별시 양천구 목동중앙북로16길 57	126.8750821	37.5439197	유지
S010001048	서울염동초등학교	서울특별시 강서구 양천로73길 17	126.8721463	37.5525252	유지
S010001049	서울염창초등학교	서울특별시 강서구 양천로 646-28	126.8679096	37.5534336	유지
S010001050	서울영도초등학교	서울특별시 양천구 목동중앙로 70	126.8720125	37.5359583	유지
S010001051	서울우장초등학교	서울특별시 강서구 화곡로 263	126.8461018	37.5491565	유지
S010001052	서울월정초등학교	서울특별시 강서구 월정로 176	126.8363007	37.5348553	유지
