year	sido	gu	name	addr	x	y
20180401	강원	강릉시	금진초등학교	강원도 강릉시 옥계면 금진안길 2	129.0436	37.6348987
20110401	강원	강릉시	옥계초등학교남양분교장	강원 강릉시 옥계면 남양리524-9	129.0310523	37.579868
20210401	강원	강릉시	옥천초등학교운산분교장	강원도 강릉시 운산길 79-15	128.9376015	37.7298465
20100401	강원	강릉시	왕산초등학교고단분교장	강원도 강릉시 왕산면 고단리32-8	128.8469486	37.5211909
20140401	강원	강릉시	주문초등학교	강원도 강릉시 주문진읍 주문로 26	128.8265729	37.8871854
20140401	강원	강릉시	주문초등학교삼덕분교장	강원도 강릉시 주문진읍 신리천로 410-8	128.7885846	37.8787271
20160401	강원	고성군	거진초등학교송정분교장	강원도 고성군 거진읍 송용길 12	128.4228046	38.4424726
20180401	강원	고성군	명파초등학교	강원도 고성군 현내면 금강산로 840	128.4014256	38.5417857
20090401	강원	고성군	죽정초등학교	강원 고성군 현내면 죽정리1리 372번지	128.4339894	38.4753162
20100401	강원	삼척시	궁촌초등학교	강원도 삼척시 근덕면 궁촌리397 번지	129.2632185	37.3205288
20160401	강원	삼척시	근덕초등학교노곡분교장	강원도 삼척시 노곡면 노곡로 13-27	129.1637171	37.3475278
20180401	강원	삼척시	근덕초등학교동막분교장	강원도 삼척시 근덕면 방재로 16	129.2433972	37.3388635
20160401	강원	삼척시	근덕초등학교마읍분교장	강원도 삼척시 노곡면 문의재로 2522	129.1783431	37.2697548
20200401	강원	삼척시	소달초등학교	강원도 삼척시 도계읍 소달길 54-30	129.0633289	37.2757684
20120401	강원	삼척시	오저초등학교풍곡분교장	강원도 삼척시 가곡면 청옥로4531	129.1569809	37.1267522
20100401	강원	삼척시	임원초등학교신남분교장	강원 삼척시 원덕읍 갈남리456-1	129.3237255	37.2658723
20110401	강원	삼척시	하장초등학교갈전분교장	강원도 삼척시 하장면 갈전리365	128.8941049	37.3829814
20170401	강원	삼척시	하장초등학교역둔분교장	강원도 삼척시 하장면 오두재로 166	128.8812704	37.294276
20080401	강원	삼척시	호산초등학교노실분교장	강원 삼척시 원덕읍 노곡리142-2	129.3416448	37.2021548
20080401	강원	양양군	남천초등학교	강원 양양군 현북면 도리33번지	128.6273432	38.0037971
20180401	강원	양양군	오색초등학교	강원도 양양군 서면 설악로 1173	128.479138	38.074358
20210401	강원	양양군	인구초등학교임호분교장	강원도 양양군 현남면 화상천로 164	128.776887	37.925651
20090401	강원	양양군	인구초등학교장임호분교장	강원 양양군 현남면 임호정리258-2	128.7768551	37.9254315
20200401	강원	영월군	마차초등학교공기분교장	강원도 영월군 북면 굴앞마을길 3	128.4348131	37.3091601
20110401	강원	영월군	마차초등학교문곡분교장	강원도 영월군 북면 문곡리340번지	128.4136468	37.244075
20180401	강원	영월군	마차초등학교연덕분교장	강원도 영월군 북면 삼방산길 53-14	128.426777	37.2880295
20220401	강원	영월군	봉래초등학교거운분교장	강원도 영월군 영월읍 동강로 871-4	128.5120578	37.2363882
20140401	강원	영월군	봉래초등학교문산분교장	강원도 영월군 영월읍 동강로 1488-23	128.5263191	37.2691886
20210401	강원	영월군	쌍룡초등학교토교분교장	강원도 영월군 남면 토교로 301	128.3090659	37.1598319
20190401	강원	영월군	영월초등학교연상분교장	강원도 영월군 중동면 영월로 3815-1	128.6139959	37.1991036
20110401	강원	영월군	옥동초등학교조제분교장	강원도 영월군 김삿갓면 내리40 번지	128.7554308	37.070214
20160401	강원	영월군	청령초등학교	강원도 영월군 영월읍 청령포로 191	128.4414	37.1806263
20160401	강원	원주시	귀래초등학교귀운분교장	강원도 원주시 귀래면 고청길 9	127.863675	37.2243346
20140401	강원	원주시	문막초등학교취병분교장	강원도 원주시 문막읍 내신동1길 60-39	127.8002765	37.3063244
20220401	강원	인제군	기린초등학교방동분교장	강원도 인제군 기린면 조침령로 671	128.373975	37.955443
20190401	강원	인제군	부평초등학교신월분교장	강원도 인제군 남면 신월로 431	128.07645	38.0282333
20180401	강원	인제군	서성초등학교	강원도 인제군 서화면 금강로 1801-42	128.2091987	38.2598838
20170401	강원	인제군	인제초등학교가리산분교장	강원도 인제군 인제읍 한석산로 1654	128.3245375	38.0589667
20100401	강원	정선군	남선초등학교낙동분교장	강원 정선군 남면 낙동리613	128.6807091	37.3198821
20080401	강원	정선군	백전초등학교용소분교장	강원 정선군 동면 백전리101-2	128.8972639	37.2488307
20080401	강원	정선군	북평초등학교숙암분교장	강원 정선군 북평면 숙암리546	128.6127749	37.4768973
20130401	강원	정선군	여량초등학교구절분교장	강원도 정선군 여량면 구절리276-1 번지	128.7321919	37.514819
20130401	강원	정선군	예미초등학교고성분교장	강원도 정선군 신동읍 고성리812 번지	128.5971979	37.2576894
