"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년","2학년","3학년","4학년","5학년","6학년","특수학급","순회학급","학급수(계)","학생수(계)","학급당학생수"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","4","4","4","5","5","5","1","0","28(1)","610(4)","21.79"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","5","5","5","5","5","5","1","0","31(1)","595(7)","19.19"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","5","5","5","6","6","6","0","0","33(0)","1067(0)","32.33"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000739","서울개포초등학교","02","공립","N","","7","7","7","7","6","6","2","0","42(2)","648(3)","15.43"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","5","5","5","5","6","6","2","0","34(2)","736(11)","21.65"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","2","2","2","2","3","2","2","0","15(2)","248(12)","16.53"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","4","6","6","9","11","11","1","0","48(1)","1175(2)","24.48"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","7","8","9","11","14","13","0","0","62(0)","1986(0)","32.03"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","4","5","5","5","5","7","1","0","32(1)","849(2)","26.53"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","4","4","4","4","4","6","2","0","28(2)","562(6)","20.07"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","2","2","2","3","3","3","2","0","17(2)","265(3)","15.59"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","2","2","2","2","1","2","2","0","13(2)","105(7)","8.08"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","6","5","6","9","10","12","0","0","48(0)","1461(0)","30.44"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","4","4","4","5","6","9","2","0","34(2)","842(6)","24.76"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000751","서울도곡초등학교","02","공립","N","","5","5","5","6","7","8","2","0","38(2)","879(9)","23.13"
