sido	gu	name	class_2008	class_2009	class_2010	class_2011	class_2012	class_2013	class_2014	class_2015	class_2016	class_2017	class_2018	class_2019	class_2020	class_2021	class_2022	student_2008	student_2009	student_2010	student_2011	student_2012	student_2013	student_2014	student_2015	student_2016	student_2017	student_2018	student_2019	student_2020	student_2021	student_2022
강원	강릉시	강동초등학교	7	7	7	7	7	7	7	7	8	8	7	7	7	7	7	112	107	84	77	69	59	61	65	92	88	87	83	74	71	60
강원	강릉시	강릉초등학교	34	32	31	30	27	24	24	22	22	22	23	23	22	23	23	1134	1040	988	880	757	667	631	559	546	534	565	554	510	498	482
강원	강릉시	경포대초등학교	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	75	63	58	57	69	59	57	46	59	66	73	78	69	76	74
강원	강릉시	경포초등학교	36	35	35	36	33	32	32	31	32	29	30	35	23	20	20	1204	1172	1148	1095	1002	913	849	772	763	734	747	836	520	469	455
강원	강릉시	교동초등학교	23	22	21	20	20	19	20	19	19	19	19	18	18	17	16	686	655	625	585	541	502	491	458	436	400	404	402	382	363	325
강원	강릉시	구정초등학교	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	69	60	59	79	83	78	70	73	73	85	86	91	89	100	105
강원	강릉시	금광초등학교	6	6	6	6	6	6	6	6	6	7	7	7	6	6	6	67	66	67	80	84	78	78	68	70	89	95	89	82	85	66
강원	강릉시	금진초등학교	4	4	4	5	5	5	5	5	4	3	3	0	0	0	0	36	32	26	27	24	22	21	23	15	11	10	0	0	0	0
강원	강릉시	남강초등학교	18	16	16	14	13	13	12	11	11	11	12	12	9	9	8	536	482	422	379	331	304	282	248	256	230	229	210	175	163	145
강원	강릉시	남산초등학교	27	25	24	23	22	21	20	21	20	22	21	23	23	23	22	789	725	691	652	624	567	513	514	487	478	492	512	505	465	429
강원	강릉시	노암초등학교	28	26	24	23	22	20	19	18	17	17	16	15	15	15	14	877	779	722	666	627	537	496	450	409	374	356	330	308	289	278
강원	강릉시	동명초등학교	17	16	17	16	14	14	16	16	16	15	16	17	18	20	20	471	440	419	394	370	356	379	375	342	337	341	359	395	440	446
강원	강릉시	명주초등학교	19	19	19	19	19	19	19	20	21	25	26	28	29	29	31	561	553	533	508	505	477	470	467	469	565	572	671	663	662	659
강원	강릉시	모산초등학교	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	39	41	49	50	45	54	44	54	73	75	69	70	77	76	81
강원	강릉시	사천초등학교	8	8	8	8	8	8	8	8	7	7	7	7	7	7	7	77	71	74	67	59	57	65	72	65	74	78	76	71	69	71
강원	강릉시	성덕초등학교	35	32	31	30	30	28	29	31	31	31	32	32	31	31	29	1130	1042	973	923	840	739	724	791	752	753	747	756	712	675	639
강원	강릉시	성산초등학교	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	90	79	72	59	64	72	63	67	65	62	64	59	57	59	69
강원	강릉시	송양초등학교	4	5	6	6	6	7	8	8	8	8	9	10	7	7	6	28	53	53	72	97	108	145	132	126	130	132	143	109	107	100
강원	강릉시	신영초등학교	7	7	7	7	7	7	6	6	6	6	6	6	6	6	6	88	75	58	61	55	52	46	48	45	34	30	34	36	32	31
강원	강릉시	신왕초등학교	3	4	4	4	4	5	6	6	6	6	6	6	6	6	6	32	27	22	21	18	23	39	46	43	28	36	34	49	55	53
강원	강릉시	연곡초등학교	6	7	8	9	9	11	11	11	11	11	11	12	12	12	12	173	156	165	174	178	177	178	195	204	191	191	188	176	180	176
강원	강릉시	영동초등학교	13	11	11	10	9	9	8	9	9	8	8	8	8	8	9	303	280	234	212	197	203	174	165	171	138	129	136	135	129	139
강원	강릉시	옥계초등학교	11	9	8	8	7	8	7	7	7	7	7	7	7	7	7	223	176	139	141	114	103	103	93	81	88	80	72	58	52	55
강원	강릉시	옥계초등학교금진분교장	0	0	0	0	0	0	0	0	0	0	0	2	3	3	3	0	0	0	0	0	0	0	0	0	0	0	6	8	12	9
강원	강릉시	옥계초등학교남양분교장	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0
강원	강릉시	옥천초등학교	18	17	16	15	15	14	13	13	13	13	13	13	13	12	11	550	509	454	404	346	298	256	231	212	185	201	207	193	184	173
강원	강릉시	옥천초등학교운산분교장	2	2	2	2	2	2	2	2	2	3	5	6	6	6	0	5	4	6	7	6	5	5	5	6	8	28	39	43	54	0
강원	강릉시	왕산초등학교	3	3	4	4	3	4	4	5	5	6	6	6	6	6	6	15	20	19	14	10	19	19	22	27	38	37	36	47	44	50
강원	강릉시	왕산초등학교고단분교장	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0
강원	강릉시	운산초등학교	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56
강원	강릉시	운양초등학교	3	4	4	6	6	6	6	6	6	6	6	6	6	6	6	23	24	18	46	67	73	81	92	95	74	69	73	61	65	75
강원	강릉시	유천초등학교	0	0	0	0	0	0	0	0	0	0	0	0	27	33	39	0	0	0	0	0	0	0	0	0	0	0	0	643	727	876
강원	강릉시	율곡초등학교	45	43	43	44	44	43	41	39	39	42	42	45	40	40	41	1553	1505	1489	1477	1384	1275	1212	1117	1095	1105	1112	1162	1004	964	935
강원	강릉시	임곡초등학교	3	3	3	3	5	6	6	6	6	6	6	6	6	6	6	15	19	19	16	23	29	28	29	60	65	67	65	60	64	60
강원	강릉시	정동초등학교	7	7	7	7	7	7	7	6	6	7	7	7	7	7	7	82	67	53	45	42	41	30	25	24	31	32	41	57	53	47
